time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-05-29,63,25.9,39094.61,31.9,21.6,7.70,10.0,9.5,199,18.62
2025-05-30,3,26.5,40599.18,31.2,22.5,0.00,0.0,7.3,189,19.79
2025-05-31,65,26.1,40089.38,32.0,21.7,15.70,3.0,10.4,200,19.36
2025-06-01,3,25.6,14300.81,29.8,22.6,0.00,0.0,9.9,153,10.29
2025-06-02,3,26.2,32873.65,31.4,21.8,0.00,0.0,6.4,182,17.79
2025-06-03,51,25.5,34524.41,30.0,20.9,0.90,6.0,7.9,151,15.76
2025-06-04,63,26.3,39427.38,31.1,22.5,4.40,3.0,10.0,176,19.72
2025-06-05,51,26.7,40760.82,31.4,22.0,0.40,1.0,8.9,163,19.66
2025-06-06,63,25.9,33292.23,31.0,22.9,8.60,6.0,8.3,199,17.10
2025-06-07,53,26.3,36368.67,30.9,22.5,1.80,5.0,8.0,163,17.81
2025-06-08,53,26.6,41465.45,31.7,20.8,1.20,5.0,8.0,206,19.90
2025-06-09,61,25.9,38412.97,30.8,21.7,3.90,4.0,7.2,159,17.94
2025-06-10,63,25.7,35785.44,30.3,22.1,14.30,11.0,7.6,125,15.76
2025-06-11,51,25.9,37560.55,30.0,22.2,0.90,5.0,9.4,135,16.85
2025-06-12,51,26.4,40384.65,31.3,22.5,0.80,7.0,9.8,138,19.39
2025-06-13,51,26.8,41845.17,32.1,21.9,0.10,1.0,12.2,150,20.11
2025-06-14,51,26.5,35563.40,31.5,22.6,0.10,1.0,14.7,118,17.83
2025-06-15,55,26.3,38048.83,31.2,22.8,1.90,3.0,11.3,123,18.16
2025-06-16,51,26.8,41326.15,32.0,23.0,0.50,2.0,10.2,106,19.98
2025-06-17,63,26.0,36034.65,31.0,23.3,6.80,9.0,8.3,339,17.67
2025-06-18,65,24.7,30463.91,29.4,22.6,13.70,14.0,10.4,61,15.28
2025-06-19,51,24.7,22574.24,27.6,22.6,0.20,2.0,14.8,63,11.48
2025-06-20,63,25.2,35814.29,29.5,23.0,13.30,8.0,7.9,341,17.45
2025-06-21,63,24.8,28224.07,28.5,22.9,14.70,16.0,7.0,152,11.68
2025-06-22,53,25.6,31031.06,30.9,22.2,3.40,15.0,14.2,47,17.20
2025-06-23,61,25.4,38029.53,30.1,22.5,3.70,7.0,13.3,21,18.05
2025-06-24,61,25.2,40665.88,29.5,22.0,2.70,3.0,12.8,157,17.57
2025-06-25,51,25.4,41405.16,29.8,21.1,0.60,3.0,9.1,183,17.54
2025-06-26,51,26.2,41838.32,30.9,20.7,0.10,1.0,8.3,119,20.39
2025-06-27,51,26.7,39665.92,30.6,23.0,0.10,1.0,6.5,146,18.05
2025-06-28,63,24.4,23958.13,29.8,21.9,8.60,7.0,10.9,161,12.27
2025-06-29,53,24.3,17538.72,28.0,20.9,1.60,6.0,8.3,170,10.50
