"Date","Price","Open","High","Low","Vol.","Change %"
"12/16/2025","97.794","97.955","97.995","97.505","17.40K","-0.38%"
"12/15/2025","98.168","98.395","98.460","98.235","0.27K","-0.23%"
"12/12/2025","98.394","98.335","98.530","98.300","7.78K","0.05%"
"12/11/2025","98.344","98.595","98.755","98.135","20.57K","-0.08%"
"12/10/2025","98.426","98.855","98.880","98.220","11.60K","-0.43%"
"12/09/2025","98.848","98.770","98.965","98.620","8.72K","0.10%"
"12/08/2025","98.745","98.650","98.870","98.455","6.23K","0.10%"
"12/05/2025","98.648","98.635","98.770","98.470","2.80K","-0.31%"
"12/04/2025","98.953","98.875","99.045","98.720","13.64K","0.16%"
"12/03/2025","98.796","99.215","99.235","98.760","16.43K","-0.50%"
"12/02/2025","99.296","99.390","99.515","99.255","11.73K","-0.07%"
"12/01/2025","99.362","99.455","99.460","98.950","21.31K","-0.05%"
"11/28/2025","99.408","99.540","99.780","99.325","13.37K","-0.11%"
"11/27/2025","99.522","99.450","99.645","99.335","6.69K","0.00%"
"11/26/2025","99.522","99.775","99.890","99.475","10.79K","-0.07%"
"11/25/2025","99.589","100.100","100.200","99.575","20.84K","-0.48%"
"11/24/2025","100.072","100.160","100.230","99.945","11.77K","-0.04%"
"11/21/2025","100.113","100.090","100.330","99.925","10.95K","0.02%"
"11/20/2025","100.090","100.075","100.350","99.940","12.54K","-0.06%"
"11/19/2025","100.151","99.490","100.165","99.400","15.01K","0.71%"
"11/18/2025","99.449","99.485","99.570","99.295","8.04K","-0.04%"
"11/17/2025","99.488","99.195","99.500","99.145","10.87K","0.29%"
"11/14/2025","99.199","99.105","99.305","98.875","10.03K","0.15%"
"11/13/2025","99.050","99.455","99.485","98.865","15.97K","-0.33%"
"11/12/2025","99.374","99.390","99.590","99.290","10.15K","0.06%"
"11/11/2025","99.316","99.545","99.615","99.150","10.83K","-0.15%"
"11/10/2025","99.462","99.490","99.610","99.325","13.44K","-0.01%"
"11/07/2025","99.471","99.650","99.740","99.255","13.29K","-0.11%"
"11/06/2025","99.585","99.950","99.950","99.525","13.91K","-0.47%"
"11/05/2025","100.059","100.020","100.215","99.910","12.84K","-0.01%"
"11/04/2025","100.070","99.795","100.105","99.585","20.75K","0.36%"
"11/03/2025","99.707","99.615","100.015","99.535","18.22K","0.08%"
"10/31/2025","99.630","99.310","99.675","99.240","17.03K","0.28%"
"10/30/2025","99.348","98.970","99.545","98.730","20.28K","0.33%"
"10/29/2025","99.022","98.465","99.170","98.420","22.17K","0.58%"
"10/28/2025","98.453","98.565","98.740","98.350","11.96K","-0.11%"
"10/27/2025","98.563","98.750","98.790","98.510","13.82K","-0.19%"
"10/24/2025","98.747","98.725","98.895","97.985","14.14K","0.02%"
"10/23/2025","98.729","98.710","98.940","98.710","9.33K","0.06%"
"10/22/2025","98.673","98.765","98.920","98.555","10.05K","-0.04%"
"10/21/2025","98.711","98.385","98.765","98.285","12.02K","0.36%"
"10/20/2025","98.355","98.315","98.410","98.165","8.65K","0.17%"
"10/17/2025","98.192","98.040","98.325","97.805","13.83K","0.10%"
"10/16/2025","98.092","98.445","98.460","98.060","16.04K","-0.46%"
"10/15/2025","98.541","98.840","98.840","98.390","17.85K","-0.27%"
"10/14/2025","98.810","99.045","99.235","98.740","18.76K","-0.22%"
"10/13/2025","99.030","98.765","99.105","98.585","11.92K","0.30%"
"10/10/2025","98.732","99.150","99.185","98.555","22.14K","-0.56%"
"10/09/2025","99.285","98.600","99.305","98.440","22.12K","0.65%"
"10/08/2025","98.640","98.365","98.790","98.340","20.40K","0.36%"
"10/07/2025","98.284","97.835","98.370","97.815","13.84K","0.49%"
"10/06/2025","97.807","97.640","98.190","97.640","19.82K","0.40%"
"10/03/2025","97.415","97.530","97.650","97.290","13.30K","-0.13%"
"10/02/2025","97.540","97.435","97.825","97.215","16.54K","0.16%"
"10/01/2025","97.381","97.535","97.560","97.130","27.99K","-0.07%"
"09/30/2025","97.451","97.605","97.720","97.310","15.58K","-0.14%"
"09/29/2025","97.584","97.875","97.875","97.450","16.28K","-0.25%"
"09/26/2025","97.824","98.155","98.205","97.805","16.09K","-0.40%"
"09/25/2025","98.215","97.500","98.265","97.395","26.22K","0.71%"
"09/24/2025","97.518","96.855","97.565","96.850","16.82K","0.65%"
"09/23/2025","96.893","96.955","97.085","96.835","16.95K","-0.08%"
"09/22/2025","96.975","97.285","97.455","96.945","12.29K","-0.30%"
"09/19/2025","97.270","96.990","97.435","96.905","15.74K","0.31%"
"09/18/2025","96.971","96.600","97.240","96.470","26.79K","0.47%"
"09/17/2025","96.520","96.260","96.685","95.845","32.60K","0.28%"
"09/16/2025","96.248","96.960","96.990","96.185","21.26K","-1.23%"
"09/15/2025","97.448","97.690","97.690","97.365","0.05K","-0.09%"
"09/12/2025","97.536","97.560","97.860","97.485","10.10K","0.01%"
"09/11/2025","97.528","97.775","98.325","97.465","18.61K","0.18%"
"09/10/2025","97.357","97.400","97.525","97.170","20.72K","-0.01%"
"09/09/2025","97.367","97.000","97.395","96.845","6.30K","0.34%"
"09/08/2025","97.037","97.395","97.530","97.010","9.08K","-0.71%"
"09/05/2025","97.728","98.190","98.220","97.315","31.58K","-0.59%"
"09/04/2025","98.304","98.105","98.410","98.040","15.20K","0.23%"
"09/03/2025","98.083","98.335","98.575","97.955","19.23K","-0.27%"
"09/02/2025","98.347","97.595","98.530","97.575","28.63K","0.67%"
"09/01/2025","97.690","97.750","97.805","97.465","7.01K","0.00%"
"08/29/2025","97.690","97.795","98.065","97.615","15.84K","-0.05%"
"08/28/2025","97.738","98.050","98.155","97.660","14.81K","-0.40%"
"08/27/2025","98.127","98.175","98.640","98.055","16.98K","0.01%"
"08/26/2025","98.122","98.380","98.455","97.975","20.44K","-0.20%"
"08/25/2025","98.318","97.575","98.435","97.575","17.12K","0.74%"
"08/22/2025","97.599","98.495","98.725","97.430","28.57K","-0.93%"
"08/21/2025","98.511","98.110","98.575","98.060","18.75K","0.44%"
"08/20/2025","98.080","98.195","98.315","97.945","17.19K","-0.04%"
"08/19/2025","98.119","97.995","98.170","97.800","11.71K","0.10%"
"08/18/2025","98.017","97.685","98.040","97.635","12.96K","0.31%"
"08/15/2025","97.712","98.050","98.070","97.570","14.83K","-0.40%"
"08/14/2025","98.103","97.575","98.170","97.470","18.54K","0.45%"
"08/13/2025","97.662","97.860","97.965","97.445","20.07K","-0.27%"
"08/12/2025","97.927","98.350","98.465","97.710","32.69K","-0.44%"
"08/11/2025","98.361","98.090","98.500","97.870","18.93K","0.36%"
"08/08/2025","98.009","97.815","98.185","97.740","17.88K","-0.22%"
"08/07/2025","98.229","98.015","98.305","97.765","31.72K","0.25%"
"08/06/2025","97.983","98.530","98.635","97.930","21.44K","-0.61%"
"08/05/2025","98.581","98.445","98.890","98.385","19.67K","-0.01%"
"08/04/2025","98.586","98.505","98.795","98.390","22.85K","-0.35%"
"08/01/2025","98.930","99.805","100.055","98.405","44.26K","-0.82%"
"07/31/2025","99.743","99.580","99.885","99.310","23.58K","0.16%"
"07/30/2025","99.586","98.670","99.735","98.470","27.44K","0.95%"
"07/29/2025","98.647","98.380","98.905","98.350","21.67K","0.26%"
"07/28/2025","98.395","97.370","98.440","97.255","20.83K","1.02%"
"07/25/2025","97.399","97.205","97.660","97.185","24.25K","0.28%"
"07/24/2025","97.124","96.930","97.270","96.860","19.51K","0.19%"
"07/23/2025","96.943","97.190","97.340","96.915","21.64K","-0.18%"
"07/22/2025","97.117","97.570","97.725","97.035","17.10K","-0.46%"
"07/21/2025","97.570","98.120","98.235","97.425","20.03K","-0.64%"
"07/18/2025","98.198","98.215","98.295","97.815","12.00K","-0.25%"
"07/17/2025","98.446","98.055","98.665","98.040","15.63K","0.38%"
"07/16/2025","98.075","98.290","98.595","97.395","41.65K","-0.24%"
"07/15/2025","98.310","97.805","98.390","97.310","23.57K","0.56%"
"07/14/2025","97.763","97.630","97.820","97.450","17.33K","0.24%"
"07/11/2025","97.529","97.250","97.650","97.240","14.68K","0.21%"
"07/10/2025","97.322","97.065","97.590","96.945","14.86K","0.13%"
"07/09/2025","97.199","97.195","97.405","97.110","12.83K","0.03%"
"07/08/2025","97.172","97.030","97.495","96.840","18.52K","0.03%"
"07/07/2025","97.141","96.650","97.330","96.555","20.16K","0.33%"
"07/04/2025","96.822","96.660","96.760","96.515","9.10K","0.00%"
"07/03/2025","96.822","96.420","97.065","96.350","19.08K","0.41%"
"07/02/2025","96.429","96.315","96.820","96.285","16.43K","-0.04%"
"07/01/2025","96.467","96.400","96.580","96.000","20.39K","-0.03%"
